1807,8392,Kameshwar Singh,Khagaria,Bihar
1810,9244,Karan Singh,"Udhampur, Udhampur, Udhampur, Udhampur","Delhi, Delhi, Delhi, Jammu and Kashmir"
1813,9269,Sitaram Kesri,Katihar,"Bihar, Bihar, Bihar, Bihar, Bihar"
1814,7731,Ghayoor Ali Khan,"Kairana, Muzaffarnagar",Uttar Pradesh
1824,8789,S.M. Krishna,"Mandya, Mandya, Mandya","Karnataka, Karnataka"
1826,7764,G.Y. Krishnan,"Kolar, Kolar, Kolar, Kolar",Karnataka
1853,9162,Janeshwar Mishra,"Phulpur, Allahabad, Allahabad, Allahabad","Uttar Pradesh, Uttar Pradesh, Uttar Pradesh"
1860,8844,Mohinder Kaur,Patiala,"Himachal Pradesh, Punjab"
1866,7960,Anand Narain Mulla,Lucknow,Uttar Pradesh
1897,8103,C.M. Poonacha,Mangalore,Mysore
1905,8149,M.V. Rajasekharan,Kanakapura,Karnataka
1912,8922,P. Ramamurti,Madurai,"Tamil Nadu, Madras"
1924,8218,Rabi Ray,"Puri, Kendrapara, Kendrapara",Orissa
1928,9193,Neelam Sanjiva Reddy,"Hindupur, Nandyal","Andhra Pradesh, Andhra Pradesh, Madras"
1932,8247,Sushila Rohatgi,"Bilhaur, Bilhaur",Uttar Pradesh
1936,8264,Ebrahim Sulaiman Sait,"Kozhikode, Kozhikode, Manjeri, Manjeri, Manjeri, Manjeri, Ponnani",Kerala
1937,8270,Mohammad Yunus Saleem,"Nalgonda, Katihar",Andhra Pradesh
1959,8342,Madho Ram Sharma,"Karnal, Karnal",Punjab
1965,8990,Yogendra Sharma,Begusarai,"Bihar, Bihar"
1992,8440,Arangil Sreedharan,Badagara,Kerala
1998,8460,Kommareddi Suryanarayana,"Eluru, Eluru, Eluru",Andhra Pradesh
2003,8484,Gunanand Thakur,Saharsa,Bihar
2034,7347,Banamali Babu,Sambalpur,Orissa
2069,7470,Darbara Singh,Hoshiarpur,Punjab
2077,8693,Mohan Manikchand Dharia,"Poona, Pune","Maharashtra, Maharashtra"
2080,7518,Jagdish Chandra Dikshit,Sitapur,Uttar Pradesh
2105,7613,M.M. Hashim,"Secunderabad, Secunderabad",Andhra Pradesh
2123,7691,M. Kalyanasundaram,"Tiruchirappalli, Tiruchirappalli",Tamil Nadu
2132,7759,Krishna Kumari,Jodhpur,Vindhya Pradesh
2133,7763,E.R. Krishnan,Salem,Tamil Nadu
2144,8813,Mukhtiar Singh Malik,"Rohtak, Sonepat","Haryana, Haryana"
2155,7892,Mahipatray M. Mehta,"Kutch, Kutch",Bombay
2157,8831,Jagannath Mishra,Madhubani,"Bihar, Bihar"
2161,8848,Samar Mukherjee,"Howrah, Howrah, Howrah","West Bengal, West Bengal"
2167,9172,Narendra Singh,"Satna, Damoh","Uttar Pradesh, Uttar Pradesh, Uttar Pradesh"
2178,9254,Tarkeshwar Pande,Salempur,"Uttar Pradesh, Uttar Pradesh, Uttar Pradesh, Uttar Pradesh"
