1012,8992,Lal Bahadur Shastri,"Allahabad, Allahabad","Uttar Pradesh, Uttar Pradesh",Yes
1055,7284,Ammu Swaminadhan,Dindigul,Madras,Yes
1057,8465,Swaran Singh,"Jullundur, Jullundur, Jullundur, Jullundur",Punjab,Yes
1059,8468,Syed Mahmud,"Champaran-East, Gopalganj",Bihar,Yes
1061,8474,Purushottam Das Tandon,Allahabad Distt. West,Uttar Pradesh,Yes
1082,8515,Mahavir Tyagi,"Dehradun Dist.cum Bijnor Dist.(N-West) cum Saharanpur (West), Dehradun, Dehradun",Uttar Pradesh,Yes
1118,7313,Lila Dhar Asthana,Unnao,Uttar Pradesh,Yes
1152,7486,H.C. Dasappa,"Bangalore, Bangalore",Karnataka,Yes
1167,7539,Surendranath Dwivedy,"Kendrapara, Kendrapara, Kendrapara",Orissa,Yes
1179,7560,Bimal Comar Ghose,Barrackpore,West Bengal,Yes
1185,7577,Narayan Ganesh Goray,Poona,Maharashtra,Yes
1225,8056,Parvathi Krishnan,"Coimbatore, Coimbatore, Coimbatore",Tamil Nadu,Yes
1254,9158,Harish Chandra Mathur,"Pali, Jalore","Rajasthan, Rajasthan, Rajasthan",Yes
1267,8841,Surendra Mohanty,"Dhenkanal, Kendrapara","Orissa, Orissa",Yes
1314,8213,Rajaram Balkrishna Raut,Kolaba,Bombay,Yes
1342,8949,Biren Roy,Calcutta South West,"West Bengal, West Bengal",Yes
1357,8975,Vijaya Raje Scindia,"Guna, Gwalior, Guna, Bhind, Guna, Guna, Guna, Guna","Madhya Pradesh, Madhya Pradesh",Yes
1386,8445,P. Subbarayan,Tiruchengode,Madras,Yes
1390,9031,Sumat Prasad,"Muzaffarnagar, Muzaffarnagar","Uttar Pradesh, Uttar Pradesh",Yes
1391,8454,Shraddhakar Supakar,"Sambalpur, Sambalpur",Orissa,Yes
1396,9042,A.M. Tariq,Srinagar,"Jammu and Kashmir, Jammu and Kashmir",Yes
1410,8550,Vijaya Raje,"Chatra, Chatra, Chatra",Bihar,Yes
1411,8557,Ramesh Chandra Vyas,"Bhilwara, Bhilwara",Rajasthan,Yes
1419,8371,Ajit Pratap Singh,"Pratapgarh, Pratapgarh",Uttar Pradesh,Yes
1494,7683,Humayun Kabir,"Basirhat, Basirhat",West Bengal,Yes
1498,7654,S.C. Jamir,"Naga Hills Tuensang Area, Naga Hills Tuensang Area, Nagaland",Nagaland,Yes
1499,7656,Jamuna Devi,Jhabua,Madhya Pradesh,Yes
1541,8818,Bhupendra Narayan Mandal,Saharsa,"Bihar, Bihar",Yes
1550,7884,Buddha Priya Maurya,"Aligarh, Hapur",Andhra Pradesh,Yes
1551,8824,Dhuleshwar Meena,Udaipur,"Rajasthan, Rajasthan",Yes
1576,8027,Tika Ram Paliwal,Hindaun,Rajasthan,Yes
1608,8158,Ram Singh,Bahraich,Uttar Pradesh,Yes
1628,8948,Yashoda Reddy,Kurnool,"Andhra Pradesh, Andhra Pradesh",Yes
1636,9203,Anant Prasad Sharma,"Buxar, Buxar","Bihar, Bihar, Bihar",Yes
1642,9000,Shyamkumari Devi,Raipur,"Madhya Pradesh, Madhya Pradesh",Yes
1702,8589,Fakhruddin Ali Ahmed,"Barpeta, Barpeta","Assam, Assam",Yes
1704,7279,Debananda Amat,"Sundergarh, Sundergarh, Sundergarh",Orissa,Yes
1708,7282,Sardar Amjad Ali,Basirhat,West Bengal,Yes
1749,7469,Abdul Ghani Dar,Gurgaon,Punjab,Yes
1764,8824,Dhuleshwar Meena,Udaipur,"Rajasthan, Rajasthan",No
1771,7547,Indira Gandhi,"Raebareli, Raebareli, Chikmagalur, Medak",Uttar Pradesh,Yes
1799,7665,Shiva Chandra Jha,Madhubani,Bihar,Yes
1805,8757,M. Kamalanathan,Krishnagiri,"Tamil Nadu, Tamil Nadu",Yes
1807,8392,Kameshwar Singh,Khagaria,Bihar,Yes
1810,9244,Karan Singh,"Udhampur, Udhampur, Udhampur, Udhampur","Delhi, Delhi, Delhi, Jammu and Kashmir",Yes
1813,9269,Sitaram Kesri,Katihar,"Bihar, Bihar, Bihar, Bihar, Bihar",Yes
1814,7731,Ghayoor Ali Khan,"Kairana, Muzaffarnagar",Uttar Pradesh,Yes
1824,8789,S.M. Krishna,"Mandya, Mandya, Mandya","Karnataka, Karnataka",Yes
1826,7764,G.Y. Krishnan,"Kolar, Kolar, Kolar, Kolar",Karnataka,Yes
1853,9162,Janeshwar Mishra,"Phulpur, Allahabad, Allahabad, Allahabad","Uttar Pradesh, Uttar Pradesh, Uttar Pradesh",Yes
1860,8844,Mohinder Kaur,Patiala,"Himachal Pradesh, Punjab",Yes
1866,7960,Anand Narain Mulla,Lucknow,Uttar Pradesh,Yes
1897,8103,C.M. Poonacha,Mangalore,Mysore,Yes
1905,8149,M.V. Rajasekharan,Kanakapura,Karnataka,Yes
1912,8922,P. Ramamurti,Madurai,"Tamil Nadu, Madras",Yes
1924,8218,Rabi Ray,"Puri, Kendrapara, Kendrapara",Orissa,Yes
1928,9193,Neelam Sanjiva Reddy,"Hindupur, Nandyal","Andhra Pradesh, Andhra Pradesh, Madras",Yes
1932,8247,Sushila Rohatgi,"Bilhaur, Bilhaur",Uttar Pradesh,Yes
1936,8264,Ebrahim Sulaiman Sait,"Kozhikode, Kozhikode, Manjeri, Manjeri, Manjeri, Manjeri, Ponnani",Kerala,Yes
1937,8270,Mohammad Yunus Saleem,"Nalgonda, Katihar",Andhra Pradesh,Yes
1959,8342,Madho Ram Sharma,"Karnal, Karnal",Punjab,Yes
1965,8990,Yogendra Sharma,Begusarai,"Bihar, Bihar",Yes
1992,8440,Arangil Sreedharan,Badagara,Kerala,Yes
1998,8460,Kommareddi Suryanarayana,"Eluru, Eluru, Eluru",Andhra Pradesh,Yes
2003,8484,Gunanand Thakur,Saharsa,Bihar,Yes
2034,7347,Banamali Babu,Sambalpur,Orissa,Yes
2069,7470,Darbara Singh,Hoshiarpur,Punjab,Yes
2077,8693,Mohan Manikchand Dharia,"Poona, Pune","Maharashtra, Maharashtra",Yes
2080,7518,Jagdish Chandra Dikshit,Sitapur,Uttar Pradesh,Yes
2105,7613,M.M. Hashim,"Secunderabad, Secunderabad",Andhra Pradesh,Yes
2123,7691,M. Kalyanasundaram,"Tiruchirappalli, Tiruchirappalli",Tamil Nadu,Yes
2132,7759,Krishna Kumari,Jodhpur,Vindhya Pradesh,Yes
2133,7763,E.R. Krishnan,Salem,Tamil Nadu,Yes
2144,8813,Mukhtiar Singh Malik,"Rohtak, Sonepat","Haryana, Haryana",Yes
2155,7892,Mahipatray M. Mehta,"Kutch, Kutch",Bombay,Yes
2157,8831,Jagannath Mishra,Madhubani,"Bihar, Bihar",Yes
2161,8848,Samar Mukherjee,"Howrah, Howrah, Howrah","West Bengal, West Bengal",Yes
2167,9172,Narendra Singh,"Satna, Damoh","Uttar Pradesh, Uttar Pradesh, Uttar Pradesh",Yes
2178,9254,Tarkeshwar Pande,Salempur,"Uttar Pradesh, Uttar Pradesh, Uttar Pradesh, Uttar Pradesh",Yes
2181,8032,Narsingh Narain Pandey,Gorakhpur,Uttar Pradesh,Yes
2183,8034,Sudhakar Pandey,Chandauli,Uttar Pradesh,Yes
2188,8060,Ram Bhagat Paswan,"Rosera, Rosera",Bihar,Yes
2217,7156,Vayalar Ravi,"Chirayinkil, Chirayinkil","Kerala, Kerala, Kerala, Kerala",Yes
2255,9013,Rudra Pratap Singh,Barabanki,"Uttar Pradesh, Uttar Pradesh",Yes
2257,8404,Shankar Dayal Singh,"Chatra, Dhanbad",Bihar,Yes
2259,8413,Vishwanath Pratap Singh,"Phulpur, Allahabad, Allahabad, Fatehpur, Fatehpur",Uttar Pradesh,Yes
2260,8421,Chandra Mohan Sinha,"Mayurbhanj, Mayurbhanj",Orissa,Yes
2287,8551,Ram Chandra Vikal,Baghpat,Uttar Pradesh,Yes
2302,7288,P. Anbalagan,Ramanathapuram,Tamil Nadu,Yes
2315,7337,Balbir Singh,Hoshiarpur,Punjab,No
2316,7338,Baldev Prakash,Amritsar,Uttar Pradesh,Yes
2321,8627,Chitta Basu,"Barasat, Barasat, Barasat, Barasat, Barasat","West Bengal, West Bengal",Yes
2333,7431,Chand Ram,"Sirsa, Hardoi",Haryana,Yes
2341,8662,Nawab Singh Chauhan,Aligarh,"Uttar Pradesh, Uttar Pradesh",Yes
2343,7451,Krishna Bahadur Chettri,Darjeeling,West Bengal,Yes
2372,7541,Eduardo Faleiro,"Mormugao, Mormugao, Mormugao, Mormugao, Mormugao",Goa,Yes
2392,8727,K.S. Hegde,Bangalore South,"Madras, Madras",Yes
2411,8754,Bapu Kaldate,Aurangabad,"Maharashtra, Maharashtra",Yes
2412,7695,P. Kannan,"Salem-Tiruchengode, Tiruchengode",Pondicherry,Yes
